	authors	date	fast_subjects	genders	owi	rank	streak	title	year	year_pub	genre	gender
33497	['Clive Cussler with Grant Blackwood']	2009-09-20	set(['Treasure troves'])	[{'gender': 'Male', 'viaf': '51048952', 'name': 'Clive Cussler with Grant Blackwood'}]	190780957	4	1	SPARTAN GOLD	2009		no genre	Male
33499	['Philippa Gregory']	2009-09-20	set(['Murder', 'Richard, Duke of York, 1472-1483', 'Elizabeth, Queen, consort of Edward IV, King of England, 1437?-1492', 'Richard III, King of England, 1452-1485', 'Edward V, King of England, 1470-1483', 'Great Britain', 'Wars of the Roses (Great Britain : 1455-1485)', 'Queens'])	[{'gender': 'Female', 'viaf': '19698456', 'name': 'Philippa Gregory'}]	179605485	6	3	THE WHITE QUEEN	2009	2001	no genre	Female
33500	['E. L. Doctorow']	2009-09-20	set(['New York (State)--New York', 'Collyer, Langley, 1885-1947', 'Recluses', 'Collyer, Homer Lusk, 1881-1947', 'Eccentrics and eccentricities', 'Brothers'])	[{'gender': 'Male', 'viaf': '14768905', 'name': 'E. L. Doctorow'}]	2909160524	7	1	HOMER & LANGLEY	2009	2010	no genre	Male
33501	['Kathy Reichs']	2009-09-20	set(['Brennan, Temperance (Fictitious character)', 'Women forensic anthropologists', u'Qu\xe9bec', 'Women--Crimes against', 'Medical examiners (Law)', 'Sabotage', 'Illinois--Chicago', u'Qu\xe9bec--Montr\xe9al'])	[{'gender': 'Female', 'viaf': '85377433', 'name': 'Kathy Reichs'}]	179605396	8	2	206 BONES	2009	2009	no genre	Female
33502	['Stieg Larsson']	2009-09-20	set(['Journalists', 'Hackers', 'Murder--Investigation', 'Blomkvist, Mikael (Fictitious character)', 'Salander, Lisbeth (Fictitious character)', 'Sweden', 'Sweden--Stockholm', 'Periodical editors', 'Suspense fiction', 'Human trafficking'])	[{'gender': 'Male', 'viaf': '54441441', 'name': 'Stieg Larsson'}]	117810861	9	6	THE GIRL WHO PLAYED WITH FIRE	2009	2006	no genre	Male
33503	['Lorrie Moore']	2009-09-20	set(['Families', 'College students', 'Illinois', 'United States', 'Social conditions', 'Adopted children', 'Nannies', 'Manners and customs'])	[{'gender': 'Female', 'viaf': '85852459', 'name': 'Lorrie Moore'}]	347878482	10	1	A GATE AT THE STAIRS	2009	2009	no genre	Female
33504	['Nancy Grace']	2009-09-20	set(['Georgia--Atlanta', 'Police', 'New York (State)--New York--Manhattan', 'Women lawyers', 'Grief', 'Women psychotherapists', 'Serial murderers'])	[{'gender': 'Female', 'viaf': '164731461', 'name': 'Nancy Grace'}]	154868238	11	4	THE ELEVENTH VICTIM	2009	2008	no genre	Female
33506	['Richard Russo']	2009-09-20	set(['Married people', 'College teachers', 'Midlife crisis', 'Middle-aged men', 'Massachusetts--Cape Cod', 'Reminiscing'])	[{'gender': 'Male', 'viaf': '49329265', 'name': 'Richard Russo'}]	199115451	13	5	THAT OLD CAPE MAGIC	2009	2009	no genre	Male
33507	['Richard North Patterson']	2009-09-20	set(['United States', 'Scandals', 'College campuses', 'American fiction', 'MP3 (Audio coding standard)'])	[{'gender': 'Male', 'viaf': '85314580', 'name': 'Richard North Patterson'}]	865078788	14	1	THE SPIRE	2009	2009	no genre	Male
33515	['Robert Harris']	2014-02-23	set(['Intelligence service', 'Traitors', 'Picquart, Georges, 1854-1914', 'Intelligence officers', 'France', 'Dreyfus, Alfred, 1859-1935', u'France. Arm\xe9e', 'France--Paris', 'Spy stories'])	[{'gender': 'Male', 'viaf': '110431011', 'name': 'Robert Harris'}]	1491730678	9	2	AN OFFICER AND A SPY	2014	2013	no genre	Male
33517	['Robin Cook']	2014-02-23	set(['Physicians', 'California--Los Angeles', 'Medical technology', 'Murder--Investigation', 'iPhone (Smartphone)', 'Radiologists'])	[{'gender': 'Male', 'viaf': '109274608', 'name': 'Robin Cook'}]	1361769738	11	1	CELL	2014	2013	no genre	Male
33519	['Jackie Collins']	2014-02-23	set(['Life change events', 'Teenage girls', 'Motherless families', 'Orphans', 'Teenagers', 'Santangelo, Lucky (Fictitious character)', 'Children of murder victims', 'Young women'])	[{'gender': 'Female', 'viaf': '100253982', 'name': 'Jackie Collins'}]	1390261153	13	1	CONFESSIONS OF A WILD CHILD	2014	2013	no genre	Female
33525	['Charlaine Harris']	2007-05-20	set(['Vampires', 'Fantasy fiction', 'Cocktail servers', 'Waitresses', 'United States', 'Telepathy', 'Stackhouse, Sookie (Fictitious character)', 'Louisiana'])	[{'gender': 'Female', 'viaf': '50289397', 'name': 'Charlaine Harris'}]	63076692	6	1	ALL TOGETHER DEAD	2007	2001	no genre	Female
33527	['Mary Higgins Clark']	2007-05-20	set(['Rich people', 'Sleepwalking', 'New Jersey--Englewood', 'Suspense fiction'])	[{'gender': 'Female', 'viaf': '100252785', 'name': 'Mary Higgins Clark'}]	60909343	8	5	I HEARD THAT SONG BEFORE	2007	2003	no genre	Female
33528	['Anita Shreve']	2007-05-20	set(['Divorced women', 'Widows', 'New Hampshire', 'New England', 'Tutors and tutoring'])	[{'gender': 'Female', 'viaf': '32082253', 'name': 'Anita Shreve'}]	58676838	9	2	BODY SURFING	2007	2003	no genre	Female
33530	['Debbie Macomber']	2007-05-20	set(['Knitters (Persons)', 'Knitting', 'Florists', 'Washington (State)--Seattle', 'Cancer--Patients', 'Female friendship'])	[{'gender': 'Female', 'viaf': '79125942', 'name': 'Debbie Macomber'}]	63258591	11	2	BACK ON BLOSSOM STREET	2007	2004	no genre	Female
33531	['Amanda Quick']	2007-05-20	set(['Women booksellers', 'Suicide', 'England--London', 'Great Britain', 'Booksellers and bookselling', 'Antiquarian booksellers'])	[{'gender': 'Female', 'viaf': '106085381', 'name': 'Amanda Quick'}]	61987065	12	2	THE RIVER KNOWS	2007	2007	no genre	Female
33533	['Kelley Armstrong']	2007-05-20	set(['Spiritualists', 'Mediums', 'Werewolves', 'Magicians'])	[{'gender': '', 'viaf': '', 'name': 'Kelley Armstrong'}]	58685472	14	1	NO HUMANS INVOLVED	2007	2007	no genre	
33534	"[""Cynthia D'Aprix Sweeney""]"	2016-04-17	set(['Trusts and trustees', 'New York (State)--New York', 'Brothers and sisters', 'Inheritance and succession', 'Dysfunctional families'])	"[{'gender': 'Female', 'viaf': '41146708136900840967', 'name': ""Cynthia D'Aprix Sweeney""}]"	2563197898	2	2	THE NEST	2016	2016	no genre	Female
33535	['James Patterson', 'Mark Sullivan']	2016-04-17	set(['Murder for hire', 'Private investigators', 'Murder--Investigation', 'Private security services', 'France--Paris'])	[{'gender': 'Male', 'viaf': '22272314', 'name': 'James Patterson'}, {'gender': 'Male', 'viaf': '2614282', 'name': 'Mark Sullivan'}]	2995905774	3	3	PRIVATE PARIS	2016	2016	no genre	Male
33536	['Jacqueline Winspear']	2016-04-17	set(['Impersonation', 'Secret service', 'Great Britain. MI5', 'Dobbs, Maisie (Fictitious character)', 'Great Britain', 'Germany', 'World War (1939-1945)'])	[{'gender': 'Female', 'viaf': '44626085', 'name': 'Jacqueline Winspear'}]	2559330089	4	1	JOURNEY TO MUNICH	2016	2016	no genre	Female
33539	['Helen Simonson']	2016-04-17	set(['Women teachers', 'Man-woman relationships', 'England', 'Missing children', 'England--East Sussex', 'Interpersonal relations', 'World War (1914-1918)', 'Country life', 'Authors'])	[{'gender': 'Female', 'viaf': '90419906', 'name': 'Helen Simonson'}]	2599121942	7	2	THE SUMMER BEFORE THE WAR	2016	2016	no genre	Female
